Industry code,sector,year,sector_output,rgdpo,emp,rkna,avh,gdp_per_worker,capital_per_worker,output_per_worker,output_per_hour,sector_output_growth,output_per_worker_growth,output_per_hour_growth,gdp_per_worker_growth
28.0,"Fabricated metal products, except machinery and equipment",2009,158.6,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.09657200962474644,0.07055053277548673,0.06062462181643502,0.061347046627822976
28.0,"Fabricated metal products, except machinery and equipment",2010,182.8,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.14200734981930285,0.07592009650078246,0.07266260037591366,0.1373306130246199
28.0,"Fabricated metal products, except machinery and equipment",2011,203.3,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.10629006161425103,0.041624178644962484,0.03691694382764199,0.07552670435624975
28.0,"Fabricated metal products, except machinery and equipment",2012,193.8,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,-0.0478560211776351,0.04463297714699266,0.0371910283260799,0.08272223096417797
15.0,Food products and beverages,2005,113.2,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.5376705336875833,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
15.0,Food products and beverages,2006,131.2,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.14756671074090555,0.07146122831308865,0.07247957251038395,0.11321011632892741
15.0,Food products and beverages,2007,147.5,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.11710529926988666,0.06820127252938946,0.06361118451418402,0.11172598865353578
15.0,Food products and beverages,2008,135.4,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,-0.08559481530170032,0.02611259478765149,0.01773445493976844,0.05422008181611382
15.0,Food products and beverages,2009,133.5,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,-0.014131882637870241,0.07055053277548673,0.06062462181643502,0.061347046627822976
15.0,Food products and beverages,2010,142.9,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.06804360709551727,0.07592009650078246,0.07266260037591366,0.1373306130246199
15.0,Food products and beverages,2011,164.8,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.14258753253955003,0.041624178644962484,0.03691694382764199,0.07552670435624975
15.0,Food products and beverages,2012,169.5,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,0.028120309345132988,0.04463297714699266,0.0371910283260799,0.08272223096417797
36.0,Furniture manufacturing n.e.c.,2005,116.2,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.3775400824026933,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
36.0,Furniture manufacturing n.e.c.,2006,111.7,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,-0.039496138342656195,0.07146122831308865,0.07247957251038395,0.11321011632892741
36.0,Furniture manufacturing n.e.c.,2007,132.7,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.1722742352630071,0.06820127252938946,0.06361118451418402,0.11172598865353578
36.0,Furniture manufacturing n.e.c.,2008,142.5,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,0.07125105837054324,0.02611259478765149,0.01773445493976844,0.05422008181611382
36.0,Furniture manufacturing n.e.c.,2009,152.7,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.06913321251588123,0.07055053277548673,0.06062462181643502,0.061347046627822976
36.0,Furniture manufacturing n.e.c.,2010,141.2,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,-0.07829788716544517,0.07592009650078246,0.07266260037591366,0.1373306130246199
36.0,Furniture manufacturing n.e.c.,2011,138.6,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,-0.01858523830333869,0.041624178644962484,0.03691694382764199,0.07552670435624975
36.0,Furniture manufacturing n.e.c.,2012,131.5,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,-0.05258523513798341,0.04463297714699266,0.0371910283260799,0.08272223096417797
,General Index,2005,108.6,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.19133544411798464,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
,General Index,2006,122.6,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.12125561600227641,0.07146122831308865,0.07247957251038395,0.11321011632892741
